NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT04073472,Mesenchymal Stem Cells for the Treatment of Pouch Fistulas in Crohn's,IPAAF,Not yet recruiting,"Crohn's Disease|Fistula|Anal Fistula|Pouch, Ileal|Pouches, Ileoanal",Drug: mesenchymal stem cells (MSCs),Safety and Feasibility: Number Of Adverse Events|Radiographic Healing|Clinical Healing,The Cleveland Clinic,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,15.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IPAAF IND# IRB# are pending,"November 1, 2019","November 1, 2021","November 1, 2022","August 29, 2019",,"August 29, 2019","Cleveland Clinic, Cleveland, Ohio, United States",1,,No Results Available,https://ClinicalTrials.gov/show/NCT04073472
NCT02804945,Mesenchymal Stem Cells (MSCs) for Treatment of Acute Respiratory Distress Syndrome (ARD) in Patients With Malignancies,,Completed,Blood And Marrow Transplantation|Adult Respiratory Distress Syndrome,Biological: Mesenchymal Stem Cells (MSCs),Adverse Events of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD)|Clinical Improvement of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD)|Improvement in PF or S/F Ratio of Participants Treated with Allogeneic Human Mesenchymal Stem Cells (hMSCs) With Acute Respiratory Distress Syndrome (ARD),M.D. Anderson Cancer Center|Katz Foundation,All,"18 Years and older   (Adult, Older Adult)",Phase 2,20.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2015-0327|NCI-2016-01184,"February 24, 2017","June 13, 2019","June 13, 2019","June 17, 2016",,"August 26, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",2,,No Results Available,https://ClinicalTrials.gov/show/NCT02804945
NCT02866721,Safety and Tolerability Study of Allogeneic Mesenchymal Stem Cell Infusion in Adults With Cystic Fibrosis,CEASE-CF,Recruiting,Cystic Fibrosis,Biological: Mesenchymal Stem Cells,"Dose limiting toxicity (DLT), triggered by occurrence in the first 24 hours after hMSC infusion of grade ≥3 infusion-related allergic toxicities|Incidence and severity of adverse events|Number of pulmonary exacerbations|Diary reports (Cystic Fibrosis Respiratory Symptom Diary (CFRSD))|Changes in subject reported symptoms as captured by the Respiratory Signs and Symptoms Questionnaire (RSSQ) from Baseline (Visit 2) Day 1 to Baseline (Visit 2) Day 2, Visits 3, 4, 5, 6 and 7 and at times when a pulmonary exacerbation is being considered|Changes in physical examination|Changes in vital signs including oxygen saturation checked throughout infusion|Changes in spirometry (FEV1 %, FEV1 (Liters), FEF25-75) determined 30 minutes, 4 hours, and 24 hours after completion of infusion and from Baseline (Visit 2) Day 1 to Visits 3, 4, 5, 6 and 7|Change in sputum quantitative microbiology (bacterial colony forming units between Baseline to Day 7 and Day 28)|Changes in hematology, comprehensive chemistry, ESR, hs-CRP, and urinalysis results|Change in blood inflammatory biomarkers from Baseline to Day 7 and Day 28|Change in sputum inflammatory biomarkers from Baseline to Day 7 and Day 28",Erica Roesch|Case Western Reserve University|Cystic Fibrosis Foundation|University Hospitals Cleveland Medical Center,All,"18 Years and older   (Adult, Older Adult)",Phase 1,15.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Protocol CF-MSC-01|DASENB15A0,August 2016,December 2019,December 2020,"August 15, 2016",,"February 12, 2019","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",3,,No Results Available,https://ClinicalTrials.gov/show/NCT02866721
NCT02181712,Mesenchymal Stem Cell Therapy for Lung Rejection,,Recruiting,Lung Transplant Reject|Bronchiolitis Obliterans,Biological: Mesenchymal stem cell 0.5|Biological: Mesenchymal stem cell 1.0,Number of Participants with serious and non-serious adverse events|Changes in pulmonary function tests,Mayo Clinic,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,19.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,14-000025,July 2014,September 2020,September 2021,"July 4, 2014",,"September 25, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States",4,,No Results Available,https://ClinicalTrials.gov/show/NCT02181712
NCT04047810,Mesenchymal Stem Cells in the Treatment of Subjects With Advance Chronic Obstructive Pulmonary Disease (COPD),,Recruiting,Chronic Obstructive Pulmonary Disease,Biological: Mesenchymal Stem Cells,Adverse Events,Mayo Clinic,All,"40 Years to 65 Years   (Adult, Older Adult)",Phase 1,15.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-007748,"November 15, 2019","August 16, 2021","August 16, 2021","August 7, 2019",,"October 10, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States",5,,No Results Available,https://ClinicalTrials.gov/show/NCT04047810
NCT02484950,Mesenchymal Stem Cell Augmentation in Patients Undergoing Arthroscopic Rotator Cuff Repair,,Recruiting,Full Thickness Rotator Cuff Tear,Biological: Mesenchymal stem cell augmentation in rotator cuff repair|Procedure: Standard arthroscopic rotator cuff repair,American Shoulder and Elbow Surgeons (ASES) Score|Magnetic Resonance Imaging (MRI) Scan|Functional Outcomes - Shoulder Exam|Patient Centered Outcomes - Shoulder Survey,Rush University Medical Center,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,100.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",15042702,November 2015,November 2018,November 2020,"June 30, 2015",,"October 25, 2017","Rush University Medical Center, Chicago, Illinois, United States",6,,No Results Available,https://ClinicalTrials.gov/show/NCT02484950
NCT02315027,Mesenchymal Stem Cell Therapy in Multiple System Atrophy,,"Active, not recruiting",MSA,Biological: autologous mesenchymal stem cells,"Adverse event frequency (by severity, type, attribution, and intervention dose).|Rate of change of Unified Multiple System Atrophy Rating Scale (UMSARS) I score from baseline to 12 months (or last available date), compared with placebo limb of Rifampicin trial (historical control cohort).|Rate of change from baseline to 12 months (or last available date) in UMSARS II score.|Rate of change from baseline to 12 months (or last available date) in UMSARS total score.|Rate of change in COMPASS-select score from baseline to 12 months.|Change in CASS score and thermoregulatory sweat test (TST) % from baseline to 12 months.|MRI morphometric changes using dedicated algorithms to evaluate rate of atrophy of defined areas of brain from baseline to 12 months.|Change in CSF biomarkers from baseline to 2 months.",Mayo Clinic,All,"30 Years to 80 Years   (Adult, Older Adult)",Phase 1,30.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12-005950|G4789,October 2012,August 2020,August 2020,"December 11, 2014",,"October 2, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",7,,No Results Available,https://ClinicalTrials.gov/show/NCT02315027
NCT02235844,Allogeneic Human Umbilical Cord Mesenchymal Stem Cells for a Single Male Patient With Duchenne Muscular Dystrophy (DMD),,Completed,Duchenne's Muscular Dystrophy,Biological: Umbilical Cord Mesenchymal Stem Cells,Adverse Events|Change from baseline of weight|Change of muscle diameter (circumferential measurements) from baseline|Change from baseline of Pulmonary Maximum Expiratory Pressure|Change from baseline of Pulmonary Forced Vital Capacity|Maximum Change from baseline of Predicted Inspiratory Pressure %|Change from baseline of Predicted Maximum Expiratory Pressure %|Change from baseline of Predicted Forced Vital Capacity %,"Allergy and Asthma Consultants, Wichita, Kansas|Aidan Foundation|Neil H. Riordan PhD",Male,28 Years to 31 Years   (Adult),Phase 1,1.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IND 16026 DMD Single Patient,September 2014,"September 30, 2017","September 30, 2017","September 10, 2014",,"September 16, 2019","Asthma and Allergy Consultants, Wichita, Kansas, United States",8,,No Results Available,https://ClinicalTrials.gov/show/NCT02235844
NCT03570333,Progenitor Potential of Mesenchymal Stem Cells in Palatal Tissue Harvested From Molar and Premolar Sites,,"Active, not recruiting",Gingival Recession|Lack of Keratinized Gingiva (Disorder),Diagnostic Test: progenitor potential of Gingival Mesenchymal cells,Osteogenic potential|Adipogenic potential|Genotype assay,University of Alabama at Birmingham,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,10.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,GMC:18,"September 17, 2018",December 2019,December 2020,"June 26, 2018",,"July 19, 2019","UAB School of Dentistry Department of Periodontology, Birmingham, Alabama, United States",9,,No Results Available,https://ClinicalTrials.gov/show/NCT03570333
NCT02530047,Mesenchymal Stem Cells (MSC) for Ovarian Cancer,,Completed,Ovarian Cancer,Genetic: MSC-INFβ|Behavioral: Questionnaires,Maximum Tolerated Dose (MTD) of Mesenchymal Stem Cells-Interferon-β (MSC-IFNβ)|Correlation Between the Number of MSC-IFNβ Infused and the Production of Interferon-β and the Number of MSC-IFNβ Detected at the Tumor Sites Via Tumor Biopsy Pre- and Post-Treatment,M.D. Anderson Cancer Center,Female,"18 Years to 90 Years   (Adult, Older Adult)",Phase 1,5.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013-0032|CA 136411|NCI-2015-01504,"May 16, 2016","June 13, 2019","June 13, 2019","August 20, 2015",,"July 18, 2019","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",10,,No Results Available,https://ClinicalTrials.gov/show/NCT02530047
